datetime	CPU [%]	Memory [GB]
12:19:43 02/06/2021	1754.95	26.205
12:20:01 02/06/2021	1929.55	26.1309
12:20:19 02/06/2021	1884.8	26.1042
12:20:38 02/06/2021	1967.05	26.1236
12:20:56 02/06/2021	1754.9	25.9766
12:21:14 02/06/2021	1842.15	25.8464
12:21:32 02/06/2021	1774.85	25.9744
12:21:50 02/06/2021	1787.35	26.1152
12:22:08 02/06/2021	1724.95	26.0358
12:22:26 02/06/2021	1839.7	25.9338
12:22:44 02/06/2021	1597.65	25.9372
12:23:02 02/06/2021	1844.65	25.8638
12:23:20 02/06/2021	1869.65	25.7997
12:23:38 02/06/2021	1924.75	25.9451
12:23:56 02/06/2021	1904.75	26.0682
12:24:14 02/06/2021	2111.9	26.0575
12:24:32 02/06/2021	1780.0	26.0655
12:24:50 02/06/2021	1937.1	26.1189
12:25:08 02/06/2021	1774.7	26.0683
12:25:26 02/06/2021	1735.05	26.4316
12:25:44 02/06/2021	1637.5	26.7996
12:26:02 02/06/2021	1837.3	26.927
12:26:20 02/06/2021	1747.55	27.0532
12:26:39 02/06/2021	1912.25	27.235
12:26:57 02/06/2021	1957.1	27.5429
12:27:15 02/06/2021	1879.75	27.7477
12:27:33 02/06/2021	2041.95	27.7986
12:27:51 02/06/2021	2039.5	27.9938
12:28:09 02/06/2021	1772.35	28.233
12:28:27 02/06/2021	1872.3	28.3337
12:28:45 02/06/2021	1827.3	28.3793
12:29:03 02/06/2021	2059.4	28.5479
12:29:21 02/06/2021	1782.3	28.5385
12:29:39 02/06/2021	1917.1	28.4906
12:29:57 02/06/2021	1924.7	28.4753
12:30:15 02/06/2021	1889.65	28.6371
12:30:33 02/06/2021	1902.2	28.7065
12:30:51 02/06/2021	1805.0	28.5003
12:31:09 02/06/2021	1789.85	28.2984
12:31:27 02/06/2021	1932.15	28.2131
12:31:45 02/06/2021	1996.95	28.297
12:32:03 02/06/2021	1882.25	28.3973
12:32:21 02/06/2021	1727.5	28.5256
12:32:40 02/06/2021	2077.0	28.7322
12:32:58 02/06/2021	1859.7	28.9127
12:33:16 02/06/2021	1869.7	28.9242
12:33:34 02/06/2021	1789.9	29.0746
12:33:52 02/06/2021	1700.05	29.0127
12:34:10 02/06/2021	1797.4	28.827
12:34:28 02/06/2021	1909.65	28.6225
12:34:46 02/06/2021	1799.8	28.708
12:35:04 02/06/2021	1647.5	28.7712
12:35:22 02/06/2021	2042.15	28.9402
12:35:40 02/06/2021	1869.55	29.0333
12:35:58 02/06/2021	1847.25	29.1413
12:36:16 02/06/2021	1779.8	29.1936
12:36:34 02/06/2021	1987.15	29.1187
12:36:52 02/06/2021	1667.35	29.1712
12:37:10 02/06/2021	1879.65	29.2772
12:37:28 02/06/2021	1889.55	29.2586
12:37:46 02/06/2021	1667.5	29.2728
12:38:04 02/06/2021	1984.6	29.3603
12:38:22 02/06/2021	1762.45	29.4804
12:38:40 02/06/2021	1802.3	29.6153
12:38:58 02/06/2021	2049.55	29.555
12:39:16 02/06/2021	1807.35	29.4162
12:39:34 02/06/2021	1937.1	29.4699
12:39:53 02/06/2021	1842.3	29.5717
12:40:11 02/06/2021	1794.9	30.0128
12:40:29 02/06/2021	1847.3	30.472
12:40:47 02/06/2021	1802.35	30.8229
12:41:05 02/06/2021	1670.15	30.9438
12:41:23 02/06/2021	1799.85	30.8894
12:41:41 02/06/2021	1827.4	30.9686
12:41:59 02/06/2021	1759.9	31.0734
12:42:17 02/06/2021	1887.1	30.9349
12:42:35 02/06/2021	1847.15	30.8016
12:42:53 02/06/2021	2134.35	30.7176
12:43:11 02/06/2021	1829.75	30.6292
12:43:29 02/06/2021	1759.9	30.8181
12:43:47 02/06/2021	1952.1	30.9557
12:44:05 02/06/2021	1867.25	31.1014
12:44:23 02/06/2021	1827.3	31.1827
12:44:41 02/06/2021	2071.8	31.0495
12:44:59 02/06/2021	1754.8	31.0234
12:45:17 02/06/2021	2091.85	31.2303
12:45:35 02/06/2021	1924.75	31.3784
12:45:53 02/06/2021	1804.85	31.7218
12:46:11 02/06/2021	1847.3	31.8792
12:46:30 02/06/2021	1912.25	31.9212
12:46:48 02/06/2021	2311.45	31.8944
12:47:06 02/06/2021	1744.9	31.985
12:47:24 02/06/2021	1822.25	32.1295
12:47:42 02/06/2021	1702.45	32.2905
12:48:00 02/06/2021	1792.4	32.4856
12:48:18 02/06/2021	1682.6	32.6053
12:48:36 02/06/2021	1547.75	32.6976
12:48:54 02/06/2021	2104.3	32.8399
12:49:12 02/06/2021	1782.15	33.006
12:49:30 02/06/2021	1951.75	33.2131
12:49:48 02/06/2021	2004.3	33.2939
12:50:06 02/06/2021	1874.35	33.3424
12:50:24 02/06/2021	2136.9	33.2563
12:50:42 02/06/2021	1937.1	33.1446
12:51:00 02/06/2021	1899.65	33.207
12:51:18 02/06/2021	2344.0	33.4931
12:51:37 02/06/2021	1912.15	33.8254
12:51:55 02/06/2021	1690.0	34.0158
12:52:13 02/06/2021	1862.15	33.9919
12:52:31 02/06/2021	1829.7	33.99
12:52:49 02/06/2021	2069.3	33.9924
12:53:07 02/06/2021	1787.4	34.0615
12:53:24 02/06/2021	2071.95	31.8104
12:53:42 02/06/2021	1667.55	33.524
12:54:00 02/06/2021	1937.1	34.0325
12:54:18 02/06/2021	1655.05	32.3385
12:54:36 02/06/2021	1924.6	32.5512
12:54:54 02/06/2021	1869.8	31.9139
12:55:12 02/06/2021	1894.75	32.9797
12:55:30 02/06/2021	1842.3	33.553
12:55:48 02/06/2021	1792.3	33.8918
12:56:06 02/06/2021	1954.55	34.2339
12:56:24 02/06/2021	1852.15	34.6383
12:56:42 02/06/2021	1957.1	34.8954
12:57:01 02/06/2021	1852.05	35.0773
12:57:19 02/06/2021	1922.05	35.2202
12:57:37 02/06/2021	1827.25	35.3368
12:57:55 02/06/2021	1957.1	35.3673
12:58:13 02/06/2021	2014.65	34.5383
12:58:31 02/06/2021	1847.4	34.5718
12:58:49 02/06/2021	1882.3	35.3124
12:59:07 02/06/2021	2027.0	34.2583
12:59:25 02/06/2021	2004.5	35.2457
12:59:43 02/06/2021	1799.95	35.6982
13:00:01 02/06/2021	1887.2	35.9882
13:00:18 02/06/2021	1727.45	33.6464
13:00:36 02/06/2021	1914.7	35.6079
13:00:54 02/06/2021	2016.9	36.505
13:01:12 02/06/2021	1964.5	37.0718
13:01:30 02/06/2021	1807.4	37.1473
13:01:48 02/06/2021	1844.6	35.808
13:02:06 02/06/2021	1979.6	36.4349
13:02:24 02/06/2021	1909.7	36.9499
13:02:42 02/06/2021	2079.45	37.3251
13:03:00 02/06/2021	1794.8	37.631
13:03:18 02/06/2021	1719.9	34.8575
13:03:36 02/06/2021	1912.3	36.6803
13:03:54 02/06/2021	1789.95	37.3084
13:04:12 02/06/2021	1932.15	37.6042
13:04:30 02/06/2021	1859.75	37.6697
13:04:48 02/06/2021	1907.1	37.6301
13:05:06 02/06/2021	1874.8	37.6464
13:05:24 02/06/2021	2191.75	35.7988
13:05:42 02/06/2021	1864.65	36.2059
13:06:00 02/06/2021	1982.05	36.4539
13:06:18 02/06/2021	1782.4	36.4502
13:06:36 02/06/2021	2032.05	36.4216
13:06:54 02/06/2021	1877.2	36.3698
13:07:12 02/06/2021	1655.05	36.2916
13:07:30 02/06/2021	1884.75	36.273
13:07:48 02/06/2021	1912.3	36.3274
13:08:06 02/06/2021	2009.65	36.3328
13:08:24 02/06/2021	1827.15	36.2313
13:08:43 02/06/2021	1822.25	36.026
13:09:01 02/06/2021	1987.05	35.7993
13:09:19 02/06/2021	2379.0	35.7221
13:09:37 02/06/2021	1764.95	35.7071
13:09:55 02/06/2021	1852.25	35.6337
13:10:13 02/06/2021	1769.9	35.4913
13:10:31 02/06/2021	1914.7	35.1974
13:10:49 02/06/2021	1979.5	34.8789
13:11:07 02/06/2021	1807.35	34.5402
13:11:25 02/06/2021	1802.4	34.1782
13:11:42 02/06/2021	1792.45	30.8439
13:12:00 02/06/2021	1984.5	31.9756
13:12:18 02/06/2021	1979.55	32.0812
13:12:36 02/06/2021	1822.3	31.8947
13:12:54 02/06/2021	1929.6	31.6699
13:13:13 02/06/2021	1867.4	31.3802
13:13:31 02/06/2021	1867.2	31.1244
13:13:49 02/06/2021	1929.6	30.8611
13:14:07 02/06/2021	1724.85	30.6479
13:14:25 02/06/2021	1947.15	30.4496
13:14:43 02/06/2021	1887.2	30.4451
13:15:01 02/06/2021	1772.35	30.4749
13:15:19 02/06/2021	1632.5	30.4062
13:15:37 02/06/2021	1739.9	30.2618
13:15:55 02/06/2021	1744.85	30.2914
13:16:13 02/06/2021	1869.8	30.3211
13:16:31 02/06/2021	1877.15	30.2416
13:16:49 02/06/2021	1807.35	30.209
13:17:07 02/06/2021	1902.25	30.182
13:17:25 02/06/2021	1879.85	29.991
13:17:43 02/06/2021	1872.3	29.986
13:18:01 02/06/2021	1677.6	30.0412
13:18:19 02/06/2021	1937.15	30.1274
13:18:37 02/06/2021	2034.45	30.2414
13:18:55 02/06/2021	1869.7	30.3431
13:19:13 02/06/2021	2019.6	30.4722
13:19:31 02/06/2021	1874.85	30.5829
13:19:49 02/06/2021	1762.4	30.4017
13:20:07 02/06/2021	1987.0	30.3695
13:20:25 02/06/2021	1907.25	30.3434
13:20:43 02/06/2021	1927.1	30.0934
13:21:01 02/06/2021	1839.7	29.9129
13:21:19 02/06/2021	1972.05	29.9789
13:21:37 02/06/2021	1842.3	30.1083
13:21:56 02/06/2021	1862.35	30.1477
13:22:14 02/06/2021	1917.2	30.0869
13:22:32 02/06/2021	2184.25	29.8069
13:22:50 02/06/2021	1772.25	29.5557
13:23:08 02/06/2021	1962.05	29.3625
13:23:26 02/06/2021	1737.45	29.1852
13:23:44 02/06/2021	1934.65	28.907
13:24:02 02/06/2021	1969.65	28.5931
13:24:20 02/06/2021	1717.4	28.262
13:24:38 02/06/2021	1976.95	27.928
13:24:56 02/06/2021	1675.1	27.7139
13:25:14 02/06/2021	1884.7	27.6879
13:25:32 02/06/2021	2196.7	27.982
13:25:50 02/06/2021	1879.65	28.3038
13:26:08 02/06/2021	1959.65	28.556
13:26:26 02/06/2021	1769.85	28.8058
13:26:44 02/06/2021	1832.25	28.9935
13:27:02 02/06/2021	1802.35	28.9739
13:27:20 02/06/2021	1877.3	28.8418
13:27:38 02/06/2021	1699.95	28.8892
13:27:56 02/06/2021	1837.3	29.055
13:28:15 02/06/2021	2256.7	29.476
13:28:33 02/06/2021	1730.0	29.9473
13:28:51 02/06/2021	1859.75	30.4897
13:29:09 02/06/2021	1874.7	30.7983
13:29:27 02/06/2021	1784.9	30.9655
13:29:45 02/06/2021	1719.95	30.8944
13:30:03 02/06/2021	1879.7	30.5644
13:30:21 02/06/2021	1854.65	30.4252
